scientificName,x,y
Pterois volitans,-77.888775,26.798849
Pterois volitans,-82.8434,24.69124
Pterois volitans,146.83333,-19.13333
Pterois volitans,130.671667,31.277222
Pterois volitans,140.83333,-17.48333
Pterois volitans,88,18
Pterois volitans,98.7757,7.74348
Pterois volitans,-82.96174,24.63976
Pterois volitans,-80.20265,25.22475
Pterois volitans,-81.3915167,24.6161667
Pterois volitans,53.25,-20.75
Pterois volitans,-66.73928261,10.62475741
Pterois volitans,153.35,-27.48333
Pterois volitans,139.49347,-10.15861
Pterois volitans,141.65,-12.75
Pterois volitans,-67.23856509,10.55179911
Pterois volitans,133.25,-32.27
Pterois volitans,145.448,-14.651
Pterois volitans,-80.13153,25.37997
Pterois volitans,-67.73869514,10.50148386
Pterois volitans,-64.76069212,10.25037672
Pterois volitans,-82.92805,24.66931
Pterois volitans,-82.97283,24.61905
Pterois volitans,115.584,-8.53273
Pterois volitans,55.254731,-4.479107
Pterois volitans,-74.21244,11.25782
Pterois volitans,-81.8638889,12.1397194
Pterois volitans,76.233,9.933
Pterois volitans,-67.82718658,10.48072247
Pterois volitans,56.3659,25.4819
Pterois volitans,-68.2671,12.045
Pterois volitans,-65.38770676,10.91742656
Pterois volitans,117.845,-19.935
Pterois volitans,117.935,-20.07833
Pterois volitans,148.75,-20.666
Pterois volitans,32.557918,-28.72652
Pterois volitans,145.44299,-14.6775
Pterois volitans,-80.17878,25.2644
Pterois volitans,140.0025,-14.24278
Pterois volitans,-67.11616516,10.57557205
Pterois volitans,-80.575,24.87052
Pterois volitans,-81.47799,24.53079
Pterois volitans,-82.96551,24.62914
Pterois volitans,118.67167,-19.28
Pterois volitans,34.3946,27.9502
Pterois volitans,-84.36,28.07
Pterois volitans,145.5,-14.66666698
Pterois volitans,120.7300034,21.93000031
Pterois volitans,144.661944,13.272019
Pterois volitans,121.0165,12.19349
Pterois volitans,-80.239517,25.158667
Pterois volitans,118.14583,-19.764165
Pterois volitans,128.425835,-13.77514
Pterois volitans,123.3074,9.307
Pterois volitans,128.1670074,-3.832999945
Pterois volitans,55.59999847,-20.86700058
Pterois volitans,-67.2099781,10.55591257
Pterois volitans,-67.23897815,10.55158816
Pterois volitans,102.659,5.87559
Pterois volitans,-81.13655,24.6209833
Pterois volitans,-82.90752,24.6868
Pterois volitans,-77.3566666,8.6721666
Pterois volitans,-64.56390381,10.34194006
Pterois volitans,117.0833333,-19.33333333
Pterois volitans,-67.23851681,10.55234757
Pterois volitans,-81.234,24.678
Pterois volitans,-66.74697,17.95955
Pterois volitans,120.8333435,21.91666603
Pterois volitans,128.405278,27.048889
Pterois volitans,134.579722,7.345833
Pterois volitans,-82.90749,24.68691
Pterois volitans,-66.47615254,10.62965284
Pterois volitans,115.239165,-20.709165
Pterois volitans,-128.35,-24.35
Pterois volitans,34.5197,28.4991
Pterois volitans,-177.926333,-29.273056
Pterois volitans,-67.23932952,10.55217881
Pterois volitans,34.9688,29.4439
Pterois volitans,-64.75612164,10.29482636
Pterois volitans,40.198994,-3.02876
Pterois volitans,-64.6059823,10.2945044
Pterois volitans,-83.06965,24.67035
Pterois volitans,79.833,11.983
Pterois volitans,-80.8346,24.72156
Pterois volitans,-80.21685,25.20855
Pterois volitans,34.5208,28.5548
Pterois volitans,-67.23926783,10.55273255
Pterois volitans,127.7825,26.436944
Pterois volitans,-69.8468256,12.03550113
Pterois volitans,-80.158941,25.454078
Pterois volitans,145.3958282,-15.69194412
Pterois volitans,153.55,-27.4
Pterois volitans,-80.16443,25.29207
Pterois volitans,-80.13425,25.377167
Pterois volitans,-82.8413667,24.7233667
Pterois volitans,153.333333,-27.166667
Pterois volitans,30.8025,26.8206
Pterois volitans,33.8579,27.2316
Pterois volitans,92.6984,11.9676
Pterois volitans,-82.8731667,24.6589833
Pterois volitans,-82.8684667,24.6566167
Pterois volitans,145.8041534,-15.60715008
Pterois volitans,-80.268317,25.150017
Pterois volitans,136.32625,-10.15056
Pterois volitans,134.109,-0.87095
Pterois volitans,120.716228,21.932877
Pterois volitans,-81.2409,19.3222
Pterois volitans,-69.84609604,12.03621466
Pterois volitans,-81.39812,24.54616
Pterois volitans,118.575,-19.525
Pterois volitans,128.445,27.061111
Pterois volitans,-80.138217,25.3631
Pterois volitans,-170.6833333,-14.2666667
Pterois volitans,-69.0857,12.2187
